id;album_type;href;id_spotify;label;name;popularity;release_date;uri
1;COMPILATION;Money Market Account;functionalities Wooden capacitor;indexing National;generate flexibility pixel;41967;2020-11-07;multimedia architect
2;COMPILATION;orange;Cambridgeshire Buckinghamshire;website;Motorway;18758;2020-11-07;Applications Awesome dynamic
3;COMPILATION;Stravenue;override Integration parse;B2C;Planner Cambridgeshire;76939;2020-11-07;mint green Handmade Metal Chair
4;COMPILATION;redundant Future intuitive;Automated;withdrawal Investment Account back up;generating;54334;2020-11-07;cyan turquoise Dynamic
5;COMPILATION;Strategist pixel;Incredible;RAM;Singapore Dollar XML;43498;2020-11-07;integrated capability
6;SINGLE;calculating compress Checking Account;Dynamic;Multi-tiered open-source Tuvalu;Factors wireless Developer;44230;2020-11-07;Keyboard compress
7;ALBUM;SMTP;Iowa;Rubber;white invoice human-resource;11543;2020-11-07;index Accounts
8;COMPILATION;Saudi Riyal mesh;models;Savings Account;monitor Fantastic Plastic Chips withdrawal;80658;2020-11-07;systems Tasty
9;ALBUM;bleeding-edge Practical hacking;Web;distributed indigo Data;Cambridgeshire;63866;2020-11-07;communities impactful
10;SINGLE;web-enabled collaborative Concrete;Visionary Utah;Shoes Focused Total;Credit Card Account;13880;2020-11-07;New Leu Associate
