id;name;popularity;id_spotify;href;followers
1;Generic Steel Ball functionalities Rubber;81516;extensible Forges;East Caribbean Dollar;52822
2;Berkshire New York;76212;multimedia;Port Kuwaiti Dinar bluetooth;63068
3;National SDD;88921;XML Gibraltar Pound;navigating;25272
4;Borders Indian Rupee Ngultrum;98996;Future deposit;Practical;41287
5;expedite;60617;parse;harness feed pixel;63317
6;withdrawal deposit generating;40228;Licensed Graphic Interface;input Generic Shirt;68373
7;Branding;25418;copying invoice calculating;alarm;97479
8;Vermont;71435;matrix AGP Functionality;Plastic;56976
9;Cambridgeshire Keyboard Industrial;70877;Gorgeous Rubber Ball standardization;local area network;34413
10;Refined Frozen Table;95932;Borders architect Fantastic Fresh Bike;Fantastic cross-platform;80641
