id;duration_ms;key;mode;time_signature;acousticness;daceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo;uri;track_href;analysis_url
1;61272;74899;67492;24538;32264;42227;92112;82835;63092;36819;54415;74261;11507;Music Kwanza 1080p;Music Handmade Wooden Bacon;embrace
2;33706;37740;82635;61435;1726;23804;39153;72103;10113;68446;33995;14805;55527;Intelligent;Valleys Sharable orchestrate;bypass virtual Port
3;9521;43997;29666;69908;74;59851;26906;48098;1879;94813;68798;19308;32002;Metal lavender;Oklahoma action-items;help-desk Beauty
4;95547;27645;77108;53025;4908;91723;65584;28434;23893;94606;3211;59713;74095;Fantastic Granite Chicken matrix;Bedfordshire Associate networks;ROI
5;40308;13784;60280;77484;69991;31276;6699;97788;9105;82440;50334;8790;31858;Engineer;transmitter TCP connect;transmitter
6;89563;40168;77850;31090;96478;65755;54063;59976;75079;87549;54121;86376;39587;programming;fault-tolerant;Cheese monitor
7;10614;87234;6721;87808;26342;85825;879;43022;80268;95290;31713;40121;69207;cutting-edge Global;Electronics Pennsylvania deploy;New Zealand Dollar Suriname bus
8;66662;77805;57389;465;29310;21793;7860;37403;44679;41868;55442;98652;13828;Gorgeous;Automotive;microchip Plains
9;45590;90663;8883;75813;23611;67579;69364;11681;48215;8283;91419;47263;41658;Generic Plastic Shoes program Jordan;deposit;Belize Handmade Plastic Keyboard Toys
10;40352;67803;28376;74382;37081;20833;58337;52035;69960;10691;42139;68860;90890;India Incredible Plastic Bacon cross-platform;visionary Hill;Florida Metal Granite
