id;start;duration;confidence;loudness;tempo;tempo_confidence;key;key_confidence;mode;mode_confidence;time_signature;time_signature_confidence
1;80138;69524;33390;44111;70698;1938;45448;40755;33030;70144;56950;77677
2;78266;16618;78997;27831;66224;26843;44452;80504;98133;94736;59267;84912
3;19371;6023;78551;73364;32696;83086;83739;4596;15523;60864;70940;82487
4;46828;57624;90900;53066;28044;53455;49511;81156;22682;19452;47796;5990
5;69426;74943;86724;34063;1538;34522;40000;12092;4111;72478;37549;94809
6;461;96896;4444;4381;28414;91011;83838;94960;41423;2119;12635;92996
7;51350;67487;68616;120;62387;55651;81467;73635;85737;29594;1336;53418
8;82783;23327;37034;75108;8763;70240;43359;95685;96200;52634;37582;85886
9;93638;58789;1523;75892;38935;25615;29696;12024;23354;90131;24112;91808
10;2364;24492;96948;96915;19260;38084;24617;81977;10589;22766;43038;29358
