id;start;duration;confidence;loudness_start;loudness_max;loudness_max_time;loudness_end
1;81763;85936;47252;26133;3514;10553;33246
2;1095;531;36237;47481;58625;36975;90986
3;84171;20740;19991;5947;59570;68956;8370
4;34549;7928;23999;76360;17663;32716;13131
5;8714;34733;26850;66202;69570;1449;48055
6;6035;82086;12388;72567;38850;66822;4404
7;91181;43639;42545;90115;5788;97132;6442
8;82892;88244;98758;25223;79132;77752;21190
9;32003;2203;46920;35726;90022;37459;19143
10;82299;35231;95698;42422;91943;52177;51972
